Struct,Position,Computed_Spearman,Sign
C,1,0.0,zero
O,1,0.0,zero
U,1,0.0,zero
C,2,0.0,zero
O,2,0.0,zero
U,2,0.662,positive
C,3,0.0,zero
O,3,0.0,zero
U,3,0.0,zero
C,4,0.0,zero
O,4,0.0,zero
U,4,-0.629,negative
C,5,0.0,zero
O,5,-0.866,negative
U,5,0.866,positive
C,6,0.0,zero
O,6,-0.865,negative
U,6,0.865,positive
C,7,0.0,zero
O,7,-0.863,negative
U,7,0.0,zero
C,8,-1.0,negative
O,8,0.0,zero
U,8,0.0,zero
C,9,-1.0,negative
O,9,0.0,zero
U,9,0.0,zero
C,10,-0.3,negative
O,10,-0.865,negative
U,10,0.679,positive
C,11,-0.351,negative
O,11,-0.86,negative
U,11,0.866,positive
C,12,0.0,zero
O,12,-0.844,negative
U,12,0.858,positive
C,13,-0.486,negative
O,13,-0.811,negative
U,13,0.852,positive
C,14,-0.538,negative
O,14,-0.766,negative
U,14,0.839,positive
C,15,-0.627,negative
O,15,-0.677,negative
U,15,0.822,positive
C,16,-0.644,negative
O,16,-0.592,negative
U,16,0.532,positive
C,17,0.0,zero
O,17,-0.531,negative
U,17,0.0,zero
C,18,-0.813,negative
O,18,-0.478,negative
U,18,0.852,positive
C,19,-0.847,negative
O,19,-0.398,negative
U,19,0.0,zero
C,20,-0.859,negative
O,20,-0.347,negative
U,20,0.0,zero
C,21,-0.864,negative
O,21,-0.295,negative
U,21,0.866,positive
C,22,-0.865,negative
O,22,-0.196,negative
U,22,0.866,positive
C,23,-0.866,negative
O,23,0.0,zero
U,23,0.693,positive
C,24,-0.866,negative
O,24,0.0,zero
U,24,0.0,zero
C,25,-0.861,negative
O,25,0.0,zero
U,25,0.0,zero
C,26,-0.861,negative
O,26,0.0,zero
U,26,0.814,positive
C,27,-0.865,negative
O,27,0.0,zero
U,27,0.865,positive
C,28,-0.858,negative
O,28,0.0,zero
U,28,0.858,positive
C,29,-0.833,negative
O,29,0.0,zero
U,29,0.833,positive
C,30,-0.739,negative
O,30,0.0,zero
U,30,0.739,positive
C,31,0.0,zero
O,31,0.0,zero
U,31,0.0,zero
C,32,0.0,zero
O,32,0.0,zero
U,32,0.0,zero
C,33,0.0,zero
O,33,0.0,zero
U,33,0.0,zero
C,34,0.0,zero
O,34,0.0,zero
U,34,0.0,zero
C,35,0.0,zero
O,35,0.0,zero
U,35,0.0,zero
C,36,0.0,zero
O,36,0.0,zero
U,36,0.0,zero
C,37,0.0,zero
O,37,0.0,zero
U,37,0.0,zero
C,38,0.0,zero
O,38,0.0,zero
U,38,0.0,zero
C,39,0.0,zero
O,39,0.0,zero
U,39,0.0,zero
C,40,0.0,zero
O,40,0.0,zero
U,40,0.0,zero
C,41,0.0,zero
O,41,0.0,zero
U,41,0.0,zero
C,42,0.0,zero
O,42,0.0,zero
U,42,0.0,zero
C,43,0.0,zero
O,43,0.0,zero
U,43,0.0,zero
C,44,0.0,zero
O,44,0.0,zero
U,44,0.0,zero
C,45,0.0,zero
O,45,0.0,zero
U,45,0.0,zero
C,46,0.0,zero
O,46,0.0,zero
U,46,0.0,zero
C,47,0.0,zero
O,47,0.0,zero
U,47,0.0,zero
C,48,0.0,zero
O,48,0.0,zero
U,48,0.0,zero
C,49,0.0,zero
O,49,0.0,zero
U,49,0.0,zero
C,50,0.0,zero
O,50,0.0,zero
U,50,0.0,zero
C,51,0.0,zero
O,51,0.0,zero
U,51,0.0,zero
C,52,0.0,zero
O,52,0.0,zero
U,52,0.0,zero
C,53,0.0,zero
O,53,0.0,zero
U,53,0.0,zero
C,54,0.0,zero
O,54,0.0,zero
U,54,0.0,zero
C,55,0.0,zero
O,55,0.0,zero
U,55,0.0,zero
C,56,0.0,zero
O,56,0.0,zero
U,56,0.0,zero
C,57,0.0,zero
O,57,0.0,zero
U,57,0.0,zero
C,58,0.0,zero
O,58,0.0,zero
U,58,0.0,zero
C,59,0.0,zero
O,59,0.0,zero
U,59,0.0,zero
C,60,0.0,zero
O,60,0.0,zero
U,60,0.0,zero
C,61,0.0,zero
O,61,0.0,zero
U,61,0.0,zero
C,62,0.0,zero
O,62,0.0,zero
U,62,0.0,zero
C,63,0.0,zero
O,63,0.0,zero
U,63,0.0,zero
C,64,0.0,zero
O,64,0.0,zero
U,64,0.0,zero
C,65,0.0,zero
O,65,0.0,zero
U,65,0.0,zero
C,66,0.0,zero
O,66,0.0,zero
U,66,0.0,zero
C,67,0.0,zero
O,67,0.0,zero
U,67,0.0,zero
C,68,0.0,zero
O,68,0.0,zero
U,68,0.0,zero
C,69,0.0,zero
O,69,0.0,zero
U,69,0.0,zero
C,70,0.0,zero
O,70,0.0,zero
U,70,0.0,zero
C,71,0.0,zero
O,71,0.0,zero
U,71,0.0,zero
C,72,0.0,zero
O,72,0.0,zero
U,72,0.0,zero
C,73,0.0,zero
O,73,0.0,zero
U,73,0.0,zero
C,74,0.0,zero
O,74,0.0,zero
U,74,0.0,zero
C,75,0.0,zero
O,75,0.0,zero
U,75,0.0,zero
C,76,0.0,zero
O,76,0.0,zero
U,76,0.0,zero
C,77,0.0,zero
O,77,0.0,zero
U,77,0.0,zero
C,78,0.0,zero
O,78,0.0,zero
U,78,0.0,zero
C,79,0.0,zero
O,79,0.0,zero
U,79,0.0,zero
C,80,0.0,zero
O,80,0.0,zero
U,80,0.0,zero
C,81,0.0,zero
O,81,0.0,zero
U,81,0.0,zero
C,82,0.0,zero
O,82,0.0,zero
U,82,0.0,zero
C,83,0.0,zero
O,83,0.0,zero
U,83,0.0,zero
C,84,0.0,zero
O,84,0.0,zero
U,84,0.0,zero
C,85,0.0,zero
O,85,0.0,zero
U,85,0.0,zero
C,86,0.0,zero
O,86,0.0,zero
U,86,0.0,zero
C,87,0.0,zero
O,87,0.0,zero
U,87,0.0,zero
C,88,0.0,zero
O,88,0.0,zero
U,88,0.0,zero
C,89,0.0,zero
O,89,0.0,zero
U,89,0.0,zero
C,90,0.0,zero
O,90,0.0,zero
U,90,0.0,zero
C,91,0.0,zero
O,91,0.0,zero
U,91,0.0,zero
C,92,0.0,zero
O,92,0.0,zero
U,92,0.0,zero
C,93,0.0,zero
O,93,0.0,zero
U,93,0.0,zero
C,94,0.0,zero
O,94,0.0,zero
U,94,0.0,zero
C,95,0.0,zero
O,95,0.0,zero
U,95,0.0,zero
C,96,0.0,zero
O,96,0.0,zero
U,96,0.0,zero
C,97,0.0,zero
O,97,0.0,zero
U,97,0.0,zero
C,98,0.0,zero
O,98,0.0,zero
U,98,0.0,zero
C,99,0.0,zero
O,99,0.0,zero
U,99,0.0,zero
C,100,0.0,zero
O,100,0.0,zero
U,100,0.0,zero
